RUN,TEST,TP,MACH,RE_MAC,QA,QC,ALPHAENC,ALPHAC,PSI,BETA,TEMPTS,PRESSTS,LIFTR,DRAGR,PMR,YMR,RMR,SFR,PMWT,RMWT,CLWA,CDWA,CMWA25,CNWA25,CRWA25,CYWA
26,2335,2,0.08260,728944,10.061,10.109,-3.983,-4.123,-0.01000,0.010,63.324,14.699,-19.956,2.3820,-27.969,0.27100,-4.3590,-1.4690,-2.9348,0.07287,-0.19155,0.01477,-0.01529,0.00011,-0.00019,-0.01564
26,2335,3,0.08257,729081,10.056,10.101,-1.985,-2.043,-0.01000,0.010,63.092,14.699,-6.9570,2.1150,-20.387,0.31300,-6.4610,-1.4430,-1.2094,0.07317,-0.05489,0.01239,-0.01073,0.00011,-0.00059,-0.01531
26,2335,4,0.08248,728533,10.035,10.079,0.008,0.036,-0.01000,0.010,62.949,14.699,6.4760,2.0670,-14.150,0.70300,-4.5000,-1.3660,0.00373,0.07338,0.08659,0.01257,-0.00672,0.00016,-0.00053,-0.01446
26,2335,5,0.08243,728358,10.022,10.068,1.978,2.097,-0.01000,0.010,62.830,14.699,20.654,2.3550,-10.648,0.33600,0.31100,-0.11600,0.70299,0.07350,0.23664,0.01659,-0.00433,0.00012,-0.00014,-0.00117
26,2335,6,0.08242,728364,10.019,10.065,3.978,4.188,-0.01000,0.010,62.770,14.699,34.887,2.7310,-7.6620,0.31400,0.55100,-0.20200,0.90364,0.07354,0.38709,0.02200,-0.00183,0.00012,-0.00028,-0.00200
26,2335,7,0.08250,729196,10.038,10.085,6.031,6.338,-0.01000,0.010,62.708,14.699,50.069,3.3620,-7.0300,-0.08700,6.4110,-0.20400,0.57568,0.07348,0.54651,0.03050,-0.00053,0.00008,0.00022,-0.00193
26,2335,8,0.08236,728113,10.003,10.052,7.976,8.378,-0.01000,0.010,62.652,14.700,64.720,4.2070,-10.455,-0.18100,8.7050,-0.24000,-0.23364,0.07334,0.70334,0.04177,-0.00180,0.00008,0.00030,-0.00223
26,2335,9,0.08239,728390,10.006,10.058,10.009,10.502,-0.01000,0.010,62.613,14.700,79.055,5.2680,-11.715,-0.21400,8.8620,-0.33100,-1.5971,0.07310,0.85462,0.05540,-0.00116,0.00008,0.00015,-0.00310
26,2335,10,0.08253,729695,10.039,10.093,11.038,11.574,-0.01000,0.010,62.605,14.700,86.024,5.9010,-11.745,-0.88000,9.65300,-0.22000,-2.4883,0.07295,0.92516,0.06308,-0.00027,0.00001,0.00015,-0.00187
26,2335,11,0.08245,729059,10.017,10.074,11.989,12.563,-0.01000,0.010,62.567,14.700,91.818,6.4910,-11.212,-1.0690,12.728,-0.18900,-3.4319,0.07278,0.98813,0.07059,0.00101,-0.00001,0.00044,-0.00151
