RUN,TEST,TP,MACH,RE_MAC,QA,QC,ALPHAENC,ALPHAC,PSI,BETA,TEMPTS,PRESSTS,LIFTR,DRAGR,PMR,YMR,RMR,SFR,PMWT,RMWT,CLWA,CDWA,CMWA25,CNWA25,CRWA25,CYWA
30,2335,2,0.08278,729557,10.083,10.149,-3.965,-4.050,-0.02000,0.020,63.724,14.694,-21.959,3.1090,-25.901,1.8800,-5.5150,-1.1940,-2.9923,0.15940,-0.10058,0.02256,-0.04191,0.00029,-0.00026,-0.01273
30,2335,3,0.08241,726698,9.99800,10.060,-1.966,-1.957,-0.02000,0.020,63.545,14.695,-7.1410,2.8910,-20.654,1.8520,-2.3890,-0.76100,-1.2095,0.16002,0.05493,0.02119,-0.03932,0.00029,-0.00007,-0.00818
30,2335,4,0.08212,724323,9.93300,9.98969,-0.029,0.075,-0.02000,0.020,63.444,14.695,7.5340,2.7900,-16.541,2.6560,-7.6780,-0.56700,-0.01416,0.16044,0.21140,0.02123,-0.03703,0.00039,-0.00087,-0.00610
30,2335,5,0.08239,726755,10.002,10.054,2.033,2.239,-0.02000,0.020,63.387,14.695,23.634,2.9690,-14.715,2.9620,-4.2300,-0.32900,0.68105,0.16068,0.38051,0.02450,-0.03534,0.00042,-0.00066,-0.00345
30,2335,6,0.08241,727104,10.015,10.061,3.962,4.267,-0.02000,0.020,63.322,14.695,39.172,3.2660,-12.610,3.0450,-4.8740,-0.33200,0.79173,0.16072,0.54455,0.02957,-0.03329,0.00044,-0.00092,-0.00339
30,2335,7,0.08243,727285,10.025,10.064,6.044,6.458,-0.02000,0.020,63.288,14.695,56.091,3.8540,-14.206,2.0780,9.06600,-0.43800,0.32562,0.16056,0.72321,0.03832,-0.03330,0.00033,0.00050,-0.00442
30,2335,8,0.08251,728069,10.053,10.085,7.964,8.480,-0.02000,0.020,63.270,14.695,72.271,4.6100,-17.850,1.0640,9.49200,-0.42900,-0.64250,0.16022,0.89244,0.04900,-0.03442,0.00022,0.00035,-0.00422
30,2335,9,0.08230,726234,10.007,10.032,10.028,10.642,-0.02000,0.020,63.227,14.695,86.999,5.5110,-15.753,1.9480,10.120,-0.39100,-2.2580,0.15966,1.0532,0.06183,-0.03135,0.00033,0.00024,-0.00375
30,2335,10,0.08204,724053,9.94800,9.97038,10.982,11.637,-0.02000,0.020,63.201,14.695,92.868,5.9610,-14.691,1.6530,7.8250,-0.24600,-3.2054,0.15933,1.1222,0.06846,-0.02991,0.00030,-0.00010,-0.00218
30,2335,11,0.08229,726236,10.010,10.031,12.028,12.728,-0.02000,0.020,63.200,14.695,100.414,6.5770,-13.460,1.6830,10.880,-0.30200,-4.3896,0.15891,1.1957,0.07628,-0.02767,0.00031,0.00017,-0.00271
30,2335,12,0.08227,726089,10.006,10.027,12.983,13.719,-0.02000,0.020,63.201,14.695,105.987,7.1520,-11.663,1.4340,11.198,-0.18200,-5.6033,0.15849,1.2553,0.08384,-0.02534,0.00028,0.00013,-0.00140
30,2335,13,0.08221,725561,9.98800,10.011,14.014,14.783,-0.02000,0.020,63.181,14.695,110.910,7.8060,-9.33400,1.4620,12.356,-0.27400,-7.0551,0.15798,1.3096,0.09227,-0.02251,0.00029,0.00021,-0.00235
30,2335,14,0.08214,724990,9.96200,9.99447,14.975,15.761,-0.02000,0.020,63.166,14.695,113.377,8.5360,-8.6120,1.0920,11.742,-0.19100,-8.5404,0.15746,1.3381,0.10092,-0.02095,0.00025,0.00010,-0.00144
30,2335,15,0.08209,724514,9.87600,9.98117,16.041,16.792,-0.02000,0.020,63.162,14.695,107.730,11.310,-38.513,8.5560,53.757,-0.06100,-10.336,0.15684,1.2800,0.12903,-0.04118,0.00114,0.00511,-0.00004
30,2335,16,0.08282,731062,9.99400,10.162,16.978,17.693,-0.02000,0.020,63.166,14.696,104.106,13.725,-61.332,-1.9870,-4.6100,-0.07800,-12.043,0.15624,1.2199,0.15064,-0.05585,-0.00009,-0.00168,-0.00019
30,2335,17,0.08270,730005,9.91800,10.132,18.010,18.698,-0.02000,0.020,63.155,14.696,99.511,15.404,-74.338,-3.9410,-38.371,-0.22600,-14.062,0.15554,1.1753,0.16759,-0.06425,-0.00031,-0.00555,-0.00173
30,2335,18,0.08333,735580,10.018,10.287,18.971,19.615,-0.02000,0.020,63.149,14.696,94.224,17.343,-91.210,0.14900,4.4760,-0.03200,-16.072,0.15483,1.1036,0.18356,-0.07366,0.00017,-0.00052,0.00030
30,2335,19,0.08289,731651,9.87100,10.177,19.998,20.619,-0.02000,0.020,63.141,14.696,89.353,18.638,-100.296,0.98300,12.430,-0.06600,-18.358,0.15404,1.0645,0.19817,-0.07950,0.00028,0.00045,-0.00005
30,2335,20,0.08341,736313,10.036,10.307,18.962,19.607,-0.02000,0.020,63.129,14.696,94.502,17.429,-91.971,0.47100,12.050,-0.07800,-16.052,0.15484,1.1044,0.18413,-0.07400,0.00021,0.00034,-0.00017
30,2335,21,0.08332,735487,10.062,10.283,18.011,18.695,-0.02000,0.020,63.125,14.696,100.497,15.753,-77.284,-1.4660,1.8070,0.04200,-14.064,0.15554,1.1687,0.16868,-0.06507,-0.00002,-0.00089,0.00108
30,2335,22,0.08271,730179,9.96200,10.135,17.027,17.736,-0.02000,0.020,63.111,14.696,102.846,13.830,-62.831,-8.5240,-52.202,-0.18900,-12.136,0.15621,1.2099,0.15188,-0.05733,-0.00084,-0.00719,-0.00135
30,2335,23,0.08283,731173,10.052,10.163,16.018,16.765,-0.02000,0.020,63.126,14.696,109.193,11.623,-39.766,3.4890,25.527,-0.26700,-10.296,0.15685,1.2728,0.12997,-0.04142,0.00054,0.00174,-0.00218
30,2335,24,0.08208,724515,9.93800,9.97904,14.979,15.760,-0.02000,0.020,63.118,14.695,112.337,8.8300,-13.236,1.7140,15.970,-0.22800,-8.5468,0.15746,1.3291,0.10394,-0.02431,0.00033,0.00061,-0.00184
30,2335,25,0.08233,726795,10.019,10.041,13.984,14.753,-0.02000,0.020,63.104,14.695,111.271,7.7920,-9.04500,1.2890,12.562,-0.06900,-7.0108,0.15800,1.3096,0.09188,-0.02227,0.00027,0.00023,-0.00016
30,2335,26,0.08251,728319,10.063,10.083,13.017,13.755,-0.02000,0.020,63.099,14.695,106.894,7.1960,-11.157,1.5420,11.096,-0.08000,-5.6488,0.15847,1.2580,0.08395,-0.02477,0.00029,0.00011,-0.00031
30,2335,27,0.08238,727233,10.033,10.053,12.000,12.700,-0.02000,0.020,63.095,14.695,100.655,6.5610,-13.164,1.2550,6.7090,-0.18800,-4.3559,0.15892,1.1956,0.07596,-0.02744,0.00026,-0.00032,-0.00150
30,2335,28,0.08256,728783,10.074,10.097,11.014,11.671,-0.02000,0.020,63.101,14.694,94.354,6.0590,-14.533,1.6260,8.6880,-0.25500,-3.2394,0.15931,1.1241,0.06874,-0.02930,0.00030,-0.00001,-0.00224
30,2335,29,0.08221,725714,9.98700,10.011,9.996,10.609,-0.02000,0.020,63.103,14.695,86.715,5.4740,-15.464,1.5140,6.3810,-0.33900,-2.2284,0.15967,1.0523,0.06154,-0.03127,0.00028,-0.00019,-0.00320
30,2335,30,0.08206,724314,9.94500,9.97268,8.949,9.514,-0.02000,0.020,63.087,14.694,78.895,4.9790,-16.846,1.3880,8.1170,-0.47000,-1.3393,0.15998,0.97288,0.05492,-0.03333,0.00026,0.00011,-0.00467
30,2335,31,0.08209,724645,9.95000,9.98105,8.014,8.535,-0.02000,0.020,63.072,14.694,72.157,4.6040,-17.855,1.2570,11.747,-0.59400,-0.67460,0.16021,0.90025,0.04957,-0.03476,0.00025,0.00062,-0.00603
30,2335,32,0.08213,725023,9.95300,9.99111,6.004,6.419,-0.02000,0.020,63.065,14.694,55.749,3.8120,-13.802,1.8230,3.7190,-0.29800,0.34030,0.16056,0.72470,0.03820,-0.03334,0.00030,-0.00012,-0.00296
30,2335,33,0.08229,726358,9.98400,10.029,4.027,4.337,-0.02000,0.020,63.084,14.694,39.690,3.2620,-11.827,3.1270,-4.0130,-0.25400,0.78637,0.16072,0.55171,0.02973,-0.03283,0.00045,-0.00083,-0.00257
30,2335,34,0.08222,725842,9.96200,10.014,1.982,2.187,-0.02000,0.020,63.070,14.694,23.334,2.9560,-14.001,2.9570,-4.6000,-0.38100,0.67105,0.16068,0.37876,0.02447,-0.03499,0.00042,-0.00070,-0.00402
30,2335,35,0.08207,724506,9.92100,9.97708,0.046,0.155,-0.02000,0.020,63.069,14.694,8.3390,2.7760,-15.720,2.9180,-5.3370,-0.47200,0.02157,0.16045,0.22024,0.02119,-0.03648,0.00042,-0.00061,-0.00508

