'CODE,TP,AlphaENC,Psi,QNOM,QA,LIFTR_o,DRAGR_o,PMR_o,YMR_o,RMR_o,SFR_o,LIFTR,DRAGR,PMR,YMR,RMR,SFR,PRESSTS,TEMPTS,Fouling,Time
1,1,0.011,-0.01,10,0.002,0,0,0,0,0,0,0.181,0.04,-0.936,-0.548,-0.535,-0.003,14.685,67.026,0,20:12.5
0,2,-3.937,-0.01,10,9.93,-19.3124,2.5606,-28.0791,-0.6633,-1.0293,-0.3606,-19.338,2.561,-28.054,-0.645,-0.794,-0.351,14.687,64.43,0,20:51.4
0,3,-1.947,-0.01,10,10.045,-6.5069,2.3175,-21.3758,-0.4504,3.3452,-0.2896,-6.52,2.316,-21.377,-0.437,3.755,-0.279,14.687,64.175,0,21:04.0
0,4,-0.011,-0.01,10,9.969,6.9743,2.243,-15.5131,-0.7967,5.2513,-0.1967,6.961,2.248,-15.542,-0.783,5.793,-0.188,14.687,64.038,0,21:16.6
0,5,1.966,-0.01,10,10,20.7737,2.4321,-11.9999,-0.9448,7.5165,-0.1344,20.791,2.437,-11.96,-0.983,7.378,-0.127,14.687,63.938,0,21:29.3
0,6,4.041,-0.01,10,10.005,35.863,2.8141,-9.1047,-1.0562,8.8007,-0.2138,35.858,2.819,-9.081,-1.088,9.038,-0.203,14.688,63.858,0,21:42.0
0,7,5.953,-0.01,10,10.011,49.6211,3.3805,-8.0429,-1.1231,9.1408,-0.2346,49.597,3.385,-8.023,-1.162,9.253,-0.224,14.688,63.799,0,21:54.5
0,8,8.031,-0.01,10,10.045,65.0905,4.2644,-9.6769,-0.9534,9.4809,-0.326,65.106,4.269,-9.573,-1.01,9.625,-0.321,14.688,63.755,0,22:07.3
0,9,9.998,-0.01,10,9.994,78.6503,5.2733,-10.7266,-1.2707,5.6791,-0.3948,78.626,5.275,-10.752,-1.316,5.786,-0.386,14.688,63.713,0,22:20.1
0,10,10.979,-0.01,10,9.968,84.7681,5.8446,-10.9608,-1.4319,7.0564,-0.3775,84.77,5.843,-10.955,-1.502,7.111,-0.369,14.688,63.711,0,22:32.0
0,11,11.989,-0.01,10,9.965,91.3852,6.4834,-11.2088,-1.1598,14.787,-0.4293,91.402,6.476,-11.204,-1.193,15.05,-0.419,14.688,63.703,0,22:44.1
0,12,12.998,-0.01,10,9.954,97.1477,7.1743,-10.6761,-1.7774,11.1674,-0.1212,97.151,7.178,-10.613,-1.797,11.311,-0.11,14.688,63.665,0,22:56.1
0,13,14.009,-0.01,10,9.921,101.9298,7.9012,-9.7715,-1.2826,13.3897,-0.1712,101.916,7.903,-9.826,-1.28,13.875,-0.161,14.688,63.65,0,23:08.0
0,14,15.031,-0.01,10,9.966,106.0941,8.7723,-9.6124,-1.6648,11.1435,-0.1206,106.062,8.779,-9.624,-1.662,11.302,-0.111,14.688,63.627,0,23:20.0
0,15,16.007,-0.01,10,9.978,101.5192,11.5185,-39.0084,-1.2063,14.9747,-0.1135,101.504,11.528,-38.956,-1.594,12.964,-0.106,14.688,63.609,0,23:31.9
0,16,16.969,-0.01,10,9.957,101.1577,13.137,-50.278,0.2876,33.4559,-0.1182,101.116,13.147,-50.387,0.006,31.494,-0.112,14.688,63.59,0,23:44.0
0,17,18.061,-0.01,10,9.909,97.5984,15.2223,-68.9612,-5.774,-6.1885,-0.1182,97.613,15.23,-69.001,-5.83,-5.784,-0.112,14.688,63.597,0,23:56.0
0,18,18.956,-0.01,10,9.922,94.5759,16.9582,-84.2323,-3.319,-0.1061,-0.0684,94.536,16.956,-84.234,-3.458,-1.452,-0.059,14.688,63.59,0,24:07.9
0,19,19.993,-0.01,10,9.966,91.4349,18.9288,-99.2206,-3.319,10.9234,-0.0224,91.429,18.932,-99.309,-3.407,11.262,-0.016,14.688,63.577,0,24:19.8
0,20,19.001,-0.01,10,10.052,95.3942,17.3184,-86.3379,-3.1416,8.0423,-0.0671,95.394,17.324,-86.491,-3.282,6.586,-0.059,14.688,63.57,0,24:31.9
0,21,18.006,-0.01,10,10.048,99.0101,15.3338,-68.562,-3.5846,4.3346,-0.0699,98.998,15.345,-68.621,-3.679,3.881,-0.063,14.688,63.569,0,24:43.7
