Time (sec), RPM, Q ind (psf), Axial Force (Lb), Roll Moment (Lb in), Temperature (C)
0.000000,80.931249,4.070456,-0.693068,-0.303013,15.219220
0.250000,83.630395,4.074667,-0.685181,-0.305683,15.212503
0.500000,83.961294,4.077191,-0.691297,-0.373160,15.211051
0.750000,80.017337,4.077191,-0.683707,-0.351939,15.211051
1.000000,87.793904,4.077681,-0.697669,-0.337787,15.208438
1.250000,85.767891,4.077681,-0.688327,-0.316371,15.208438
1.500000,78.561024,4.084348,-0.712459,-0.317630,15.190037
1.750000,86.281277,4.084348,-0.688700,-0.304126,15.190037
2.000000,79.065446,4.085483,-0.707460,-0.321091,15.178598
2.250000,88.227996,4.085483,-0.704162,-0.354864,15.178598
2.500000,81.895750,4.089338,-0.706048,-0.328137,15.178672
2.750000,80.026809,4.089338,-0.705933,-0.300525,15.178672
3.000000,86.438828,4.090071,-0.701929,-0.336611,15.171072
3.250000,84.920882,4.090071,-0.706313,-0.369590,15.171072
3.500000,87.979442,4.096169,-0.700418,-0.332699,15.169335
3.750000,87.111334,4.096169,-0.707187,-0.385982,15.169335
4.000000,82.216277,4.097083,-0.696739,-0.301907,15.162559
4.250000,89.415280,4.101385,-0.698494,-0.322766,15.168528
4.500000,82.894682,4.101385,-0.707582,-0.313568,15.168528
4.750000,79.116402,4.106797,-0.697665,-0.339931,15.169963
5.000000,88.807153,4.106797,-0.713768,-0.298444,15.169963
5.250000,84.344738,4.106097,-0.698004,-0.250738,15.159719
5.500000,87.919978,4.106097,-0.702417,-0.296158,15.159719
5.750000,88.158965,4.109024,-0.683522,-0.269870,15.150662
6.000000,84.655487,4.109024,-0.697745,-0.323765,15.150662
6.250000,83.855391,4.108415,-0.702432,-0.351783,15.158568
6.500000,82.758478,4.108415,-0.684340,-0.378811,15.158568
6.750000,82.265171,4.112053,-0.707594,-0.306286,15.156145
7.000000,85.894818,4.112053,-0.701593,-0.321668,15.156145
7.250000,84.389224,4.111622,-0.709606,-0.302377,15.148780
7.500000,86.849847,4.113185,-0.707558,-0.314231,15.155721
7.750000,86.918888,4.113185,-0.707561,-0.307296,15.155721
8.000000,81.996337,4.116534,-0.703882,-0.292945,15.162500
