Time (sec), RPM, Q ind (psf), Axial Force (Lb), Roll Moment (Lb in), Temperature (C)
0.000000,0.000000,-0.000936,-0.001184,0.011913,17.540206
0.250000,0.000000,-0.000936,-0.001008,0.006144,17.540206
0.500000,0.000000,-0.000936,-0.001658,0.010045,17.540646
0.750000,0.000000,-0.000936,-0.001726,0.010067,17.540646
1.000000,0.000000,-0.000936,-0.002605,0.004941,17.536810
1.250000,0.000000,-0.000936,-0.003029,0.011562,17.536810
1.500000,0.000000,-0.000936,-0.001517,0.011999,17.543713
1.750000,0.000000,-0.000936,-0.001481,0.006928,17.552150
2.000000,0.000000,-0.000936,-0.000993,0.009767,17.552150
2.250000,0.000000,-0.000936,-0.001740,0.011133,17.564970
2.500000,0.000000,-0.000936,-0.002271,0.005238,17.564970
2.750000,0.000000,-0.000936,-0.002176,0.010282,17.561160
3.000000,0.000000,-0.000936,-0.002541,0.010037,17.561160
3.250000,0.000000,-0.000936,0.000143,-0.005554,17.562622
3.500000,0.000000,-0.000936,-0.002103,0.012327,17.562622
3.750000,0.000000,-0.000936,-0.002317,0.010565,17.565024
4.000000,0.000000,-0.000936,-0.002146,0.001489,17.565024
4.250000,0.000000,-0.000936,-0.001769,0.008836,17.566041
4.500000,0.000000,-0.000936,-0.002247,0.010839,17.566041
4.750000,0.000000,-0.000936,-0.001618,0.002651,17.575236
5.000000,0.000000,-0.000936,-0.001255,0.007316,17.578839
5.250000,0.000000,-0.000936,-0.002096,0.007684,17.578839
5.500000,0.000000,-0.000936,-0.000896,0.001658,17.576851
5.750000,0.000000,-0.000936,-0.002767,0.007316,17.576851
6.000000,0.000000,-0.000936,-0.003824,0.009012,17.579483
6.250000,0.000000,-0.000936,-0.002124,0.006802,17.579483
6.500000,0.000000,-0.000936,-0.001812,0.004964,17.583724
6.750000,0.000000,-0.000936,-0.003811,0.010860,17.583724
7.000000,0.000000,-0.000936,-0.001193,0.002055,17.585008
7.250000,0.000000,-0.000936,-0.001017,0.002532,17.585008
7.500000,0.000000,-0.000936,-0.001890,0.012592,17.591659
7.750000,0.000000,-0.000936,-0.000989,0.006357,17.591659
8.000000,0.000000,-0.000936,-0.000699,0.002690,17.592113
8.250000,0.000000,-0.000936,-0.002344,0.011643,17.592113
8.500000,0.000000,-0.000936,-0.002352,0.008657,17.591126
8.750000,0.000000,-0.000936,-0.000467,0.001980,17.599475
9.000000,0.000000,-0.000936,-0.000850,0.007629,17.599475
9.250000,0.000000,-0.000936,-0.001535,0.005789,17.596086
9.500000,0.000000,-0.000936,-0.001161,0.002133,17.596086
9.750000,0.000000,-0.000936,-0.002523,0.009197,17.603165
10.000000,0.000000,-0.000936,-0.002169,0.003268,17.603165
10.250000,0.000000,-0.000936,-0.001949,0.000302,17.604687
10.500000,0.000000,-0.000936,-0.002329,0.009862,17.604687
10.750000,0.000000,-0.000936,-0.003055,0.012590,17.599967
11.000000,0.000000,-0.000936,-0.000249,0.001997,17.599967
11.250000,0.000000,-0.000936,-0.001801,0.004530,17.609963
11.500000,0.000000,-0.000936,-0.002593,0.010500,17.609963
11.750000,0.000000,-0.000936,-0.001448,-0.001597,17.610533
12.000000,0.000000,-0.000936,-0.001360,0.007592,17.606439
12.250000,0.000000,-0.000936,-0.002234,0.010518,17.606439
12.500000,0.000000,-0.000936,-0.000733,0.004213,17.613516
12.750000,0.000000,-0.000936,-0.000645,0.001523,17.613516
13.000000,0.000000,-0.000936,-0.003357,0.012906,17.608892
13.250000,0.000000,-0.000936,-0.002071,0.000187,17.608892
13.500000,0.000000,-0.000936,-0.000700,0.006004,17.616087
13.750000,0.000000,-0.000936,-0.001869,0.013982,17.616087
14.000000,0.000000,-0.000936,-0.000185,0.002770,17.619482
14.250000,0.000000,-0.000936,-0.002214,0.005789,17.619482
14.500000,0.000000,-0.000936,-0.001904,0.012782,17.621067
14.750000,0.000000,-0.000936,-0.001410,0.002956,17.621067
15.000000,0.000000,-0.000936,-0.001063,0.002119,17.621976
15.250000,0.000000,-0.000936,-0.001979,0.012689,17.621976
15.500000,0.000000,-0.000936,0.000331,0.003549,17.625983
15.750000,0.000000,-0.000936,0.001022,0.006916,17.635985
16.000000,0.000000,-0.000936,-0.001317,0.017360,17.635985
16.250000,0.000000,-0.000936,-0.000962,0.005951,17.625530
16.500000,0.000000,-0.000936,-0.002821,0.011068,17.625530
16.750000,0.000000,-0.000936,-0.001714,0.015802,17.629350
17.000000,0.000000,-0.000936,-0.000851,0.002366,17.629350
17.250000,0.000000,-0.000936,-0.001662,0.008694,17.628168
17.500000,0.000000,-0.000936,-0.000342,0.016532,17.628168
17.750000,0.000000,-0.000936,-0.001078,0.006707,17.636622
18.000000,0.000000,-0.000936,-0.001229,0.003722,17.636622
18.250000,0.000000,-0.000936,-0.001410,0.012456,17.640229
18.500000,0.000000,-0.000936,-0.000641,0.008079,17.640229
18.750000,0.000000,-0.000936,-0.000799,0.006590,17.635712
19.000000,0.000000,-0.000936,-0.000197,0.016345,17.640404
19.250000,0.000000,-0.000936,-0.000736,0.003723,17.640404
19.500000,0.000000,-0.000936,-0.000260,0.003438,17.638775
19.750000,0.000000,-0.000936,-0.002225,0.013820,17.638775
20.000000,0.000000,-0.000936,-0.000378,0.005083,17.634732
20.250000,0.000000,-0.000936,-0.000065,0.008756,17.634732
20.500000,0.000000,-0.000936,-0.001310,0.014741,17.647472
20.750000,0.000000,-0.000936,-0.000066,0.004158,17.647472
21.000000,0.000000,-0.000936,-0.001545,0.005517,17.645232
21.250000,0.000000,-0.000936,-0.001774,0.015976,17.645232
21.500000,0.000000,-0.000936,-0.002222,0.007068,17.650805
21.750000,0.000000,-0.000936,-0.001164,0.006788,17.650805
22.000000,0.000000,-0.000936,-0.003447,0.012473,17.648488
22.250000,0.000000,-0.000936,-0.000776,0.009883,17.648488
22.500000,0.000000,-0.000936,-0.000340,0.003966,17.653926
22.750000,0.000000,-0.000936,-0.001108,0.011299,17.654330
23.000000,0.000000,-0.000936,-0.000746,0.008100,17.654330
23.250000,0.000000,-0.000936,-0.001375,0.002742,17.648064
23.500000,0.000000,-0.000936,-0.001057,0.009935,17.648064
23.750000,0.000000,-0.000936,-0.002754,0.008760,17.661704
24.000000,0.000000,-0.000936,-0.000428,0.004947,17.661704
24.250000,0.000000,-0.000936,-0.002571,0.009560,17.654611
24.500000,0.000000,-0.000936,-0.001833,0.008137,17.654611
24.750000,0.000000,-0.000936,0.000599,0.000266,17.652778
25.000000,0.000000,-0.000936,0.001618,0.005077,17.652778
25.250000,0.000000,-0.000936,-0.000931,0.009292,17.660254
25.500000,0.000000,-0.000936,-0.000389,0.000584,17.660254
25.750000,0.000000,-0.000936,-0.002081,0.008673,17.662477
26.000000,0.000000,-0.000936,0.000357,0.009790,17.658737
