Time (sec), RPM, Q ind (psf), Axial Force (Lb), Roll Moment (Lb in), Temperature (C)
0.000000,131.354622,4.254521,-0.805913,-0.541914,14.980500
0.250000,133.448989,4.257099,-0.789610,-0.496595,14.972464
0.500000,134.059114,4.257099,-0.797318,-0.403686,14.972464
0.750000,136.220450,4.263404,-0.806709,-0.455058,14.956017
1.000000,140.305750,4.263404,-0.790104,-0.404749,14.956017
1.250000,137.780980,4.267720,-0.788895,-0.442764,14.952580
1.500000,137.156965,4.270507,-0.797840,-0.419852,14.941329
1.750000,136.818792,4.270507,-0.801707,-0.433683,14.941329
2.000000,138.556530,4.273370,-0.822833,-0.538527,14.935868
2.250000,136.266082,4.273370,-0.811982,-0.396450,14.935868
2.500000,132.695290,4.278513,-0.832848,-0.570378,14.931850
2.750000,137.278567,4.278513,-0.766587,-0.439464,14.931850
3.000000,139.912729,4.282103,-0.805355,-0.460449,14.918918
3.250000,138.300233,4.282103,-0.794719,-0.472284,14.918918
3.500000,140.995250,4.287588,-0.775675,-0.422082,14.904416
3.750000,137.531876,4.287588,-0.802174,-0.310825,14.904416
4.000000,141.310716,4.289786,-0.773773,-0.399154,14.899510
4.250000,135.016160,4.289786,-0.796065,-0.422902,14.899510
4.500000,133.184611,4.292812,-0.821355,-0.420984,14.892270
4.750000,129.704490,4.292812,-0.795067,-0.447307,14.892270
5.000000,134.370600,4.295349,-0.824871,-0.393672,14.887559
5.250000,135.183089,4.296043,-0.784916,-0.392365,14.893029
5.500000,130.306247,4.296043,-0.817581,-0.393935,14.893029
5.750000,144.169688,4.299307,-0.809728,-0.401508,14.887544
6.000000,136.793058,4.299307,-0.811644,-0.436868,14.887544
6.250000,133.203460,4.302079,-0.807028,-0.482548,14.879207
6.500000,136.834783,4.302079,-0.810832,-0.387878,14.879207
6.750000,141.661871,4.301182,-0.807105,-0.450264,14.876746
7.000000,133.805369,4.301182,-0.800879,-0.462624,14.876746
7.250000,130.585240,4.303806,-0.841323,-0.515497,14.868794
7.500000,140.435467,4.303806,-0.807432,-0.486673,14.868794
7.750000,135.161772,4.308727,-0.807073,-0.389362,14.864721
8.000000,134.579691,4.308727,-0.782576,-0.353735,14.864721
8.250000,138.252830,4.311943,-0.817780,-0.363209,14.861650
8.500000,133.254861,4.316536,-0.809103,-0.395754,14.856146
8.750000,139.123983,4.316536,-0.817979,-0.389437,14.856146
9.000000,141.596262,4.317184,-0.811349,-0.497465,14.847267
9.250000,139.155846,4.317184,-0.813570,-0.437998,14.847267
9.500000,134.182035,4.317104,-0.811886,-0.471192,14.846192
9.750000,131.805126,4.317104,-0.827589,-0.473080,14.846192
10.000000,131.083790,4.320071,-0.799557,-0.430214,14.840851
10.250000,134.438342,4.320071,-0.833220,-0.344181,14.840851
10.500000,145.154559,4.323435,-0.799422,-0.460755,14.833899
10.750000,138.730328,4.323435,-0.787622,-0.456357,14.833899
11.000000,137.576814,4.324240,-0.779252,-0.464357,14.842471
11.250000,140.703871,4.324240,-0.804094,-0.415797,14.842471
11.500000,141.717916,4.325662,-0.789315,-0.383270,14.841681
11.750000,130.190675,4.327296,-0.798737,-0.382121,14.852220
12.000000,143.374314,4.327296,-0.805740,-0.457124,14.852220
12.250000,135.116876,4.329138,-0.806725,-0.524567,14.852319
12.500000,141.855290,4.329138,-0.779079,-0.390475,14.852319
12.750000,136.906986,4.330456,-0.812811,-0.428322,14.846940
13.000000,137.557495,4.330456,-0.837370,-0.504634,14.846940
13.250000,142.230229,4.331177,-0.820830,-0.434811,14.860484
13.500000,141.149486,4.331177,-0.804683,-0.376350,14.860484
13.750000,135.517422,4.333856,-0.821238,-0.468061,14.864246
14.000000,135.254702,4.333856,-0.811116,-0.452314,14.864246
14.250000,138.739150,4.336323,-0.798532,-0.501743,14.865260
14.500000,135.236791,4.336323,-0.762685,-0.391064,14.865260
14.750000,141.920300,4.339311,-0.792065,-0.391371,14.862616
15.000000,134.113801,4.339311,-0.794576,-0.511780,14.862616
15.250000,133.905781,4.339009,-0.818146,-0.381248,14.871101
15.500000,138.847909,4.338496,-0.803193,-0.374662,14.888674
15.750000,139.314572,4.338496,-0.807687,-0.517976,14.888674
16.000000,135.496765,4.338447,-0.822422,-0.516362,14.900535
16.250000,135.346996,4.338447,-0.805114,-0.498645,14.900535
16.500000,144.061947,4.341034,-0.806365,-0.527881,14.907623
16.750000,134.441354,4.341034,-0.795046,-0.462418,14.907623
17.000000,127.420999,4.344474,-0.836924,-0.517144,14.913446
17.250000,139.978828,4.344474,-0.812076,-0.412615,14.913446
17.500000,132.818661,4.343334,-0.797575,-0.417033,14.933239
17.750000,141.754328,4.343334,-0.802725,-0.446056,14.933239
18.000000,135.392426,4.344345,-0.802433,-0.471410,14.950231
18.250000,138.054808,4.344345,-0.802784,-0.280171,14.950231
18.500000,138.096115,4.346744,-0.782630,-0.348083,14.966856
18.750000,134.063608,4.346744,-0.796441,-0.410544,14.966856
19.000000,137.169899,4.346224,-0.828578,-0.495739,14.982785
19.250000,126.500880,4.345116,-0.808855,-0.389142,15.000829
19.500000,138.614548,4.345116,-0.793902,-0.466509,15.000829
19.750000,137.933016,4.348408,-0.809166,-0.403318,15.021552
20.000000,139.348546,4.348408,-0.780208,-0.404024,15.021552
20.250000,143.603367,4.349523,-0.838136,-0.471027,15.035405
20.500000,136.563438,4.349523,-0.821897,-0.438193,15.035405
20.750000,142.431544,4.349176,-0.801129,-0.465620,15.064217
21.000000,140.841764,4.349176,-0.813490,-0.459554,15.064217
21.250000,133.475336,4.352641,-0.813199,-0.438753,15.086368
21.500000,132.705929,4.352641,-0.769093,-0.351351,15.086368
21.750000,130.909686,4.353408,-0.825131,-0.465332,15.111910
22.000000,135.278716,4.353408,-0.777717,-0.406280,15.111910
22.250000,132.725010,4.353393,-0.766116,-0.388600,15.132726
22.500000,134.470355,4.352881,-0.799586,-0.510260,15.159651
22.750000,131.880813,4.352881,-0.830588,-0.382279,15.159651
23.000000,137.174603,4.353598,-0.833711,-0.494451,15.183754
23.250000,138.663400,4.353598,-0.797456,-0.463339,15.183754
23.500000,138.853934,4.356525,-0.805097,-0.533876,15.206896
23.750000,138.665804,4.356525,-0.839167,-0.436446,15.206896
24.000000,141.400632,4.357575,-0.809299,-0.439328,15.229363
24.250000,132.518346,4.357575,-0.836857,-0.538874,15.229363
24.500000,131.801145,4.359801,-0.795621,-0.431487,15.244268
24.750000,134.648777,4.359801,-0.805552,-0.419926,15.244268
25.000000,145.129982,4.357870,-0.784572,-0.423912,15.267490
25.250000,140.318054,4.357870,-0.780321,-0.479168,15.267490
25.500000,142.841838,4.358362,-0.826843,-0.408249,15.277089
25.750000,139.248695,4.358362,-0.852003,-0.502453,15.277089
26.000000,136.599192,4.360287,-0.836335,-0.443633,15.293560
26.250000,133.470140,4.357852,-0.804091,-0.476184,15.300018
26.500000,134.314952,4.357852,-0.800604,-0.449798,15.300018
26.750000,136.101100,4.358252,-0.811364,-0.629543,15.311559
27.000000,134.633670,4.358252,-0.790827,-0.448215,15.311559
27.250000,143.907755,4.361158,-0.802630,-0.452937,15.314627
27.500000,134.080834,4.361158,-0.791899,-0.461141,15.314627
27.750000,139.171581,4.360992,-0.813436,-0.355399,15.323627
28.000000,141.721264,4.360992,-0.819508,-0.453335,15.323627
28.250000,141.190174,4.364416,-0.799452,-0.458520,15.333751
28.500000,132.701893,4.364416,-0.806916,-0.381939,15.333751
28.750000,138.131086,4.365302,-0.825715,-0.461062,15.340363
29.000000,131.636322,4.365302,-0.812994,-0.388951,15.340363
29.250000,131.224985,4.364935,-0.831269,-0.495951,15.351364
29.500000,142.119896,4.364935,-0.813760,-0.455877,15.351364
29.750000,137.025407,4.366094,-0.789501,-0.455056,15.357530
30.000000,137.486180,4.368211,-0.794934,-0.529123,15.360257
30.250000,137.235785,4.368211,-0.837398,-0.466157,15.360257
30.500000,134.425541,4.367283,-0.774924,-0.385532,15.373265
30.750000,134.437589,4.367283,-0.809119,-0.350439,15.373265
31.000000,140.931498,4.368227,-0.852335,-0.425816,15.387804
31.250000,137.649802,4.368227,-0.816177,-0.417200,15.387804
31.500000,138.319761,4.369049,-0.823461,-0.409856,15.413711
31.750000,129.998510,4.369049,-0.788279,-0.418059,15.413711
32.000000,135.260800,4.368859,-0.818027,-0.362853,15.410710
32.250000,133.770689,4.368859,-0.785314,-0.493843,15.410710
32.500000,138.113996,4.368655,-0.828610,-0.542380,15.426342
32.750000,136.042468,4.368655,-0.803472,-0.522644,15.426342
33.000000,135.338600,4.370955,-0.800862,-0.428369,15.450414
33.250000,136.213105,4.375045,-0.791963,-0.438732,15.471092
33.500000,136.577427,4.375045,-0.810755,-0.431154,15.471092
33.750000,134.652177,4.377989,-0.822063,-0.364595,15.479245
34.000000,131.160442,4.377989,-0.801728,-0.548660,15.479245
34.250000,139.146971,4.376122,-0.817770,-0.434120,15.505542
34.500000,137.269930,4.376122,-0.810907,-0.422868,15.505542
34.750000,360.929393,4.377722,-0.812182,-0.224761,15.522660
35.000000,737.021512,4.377722,-0.805011,0.076071,15.522660
35.250000,1163.579948,4.373233,-0.893547,0.046468,15.523577
35.500000,1623.541350,4.373233,-0.925731,0.128952,15.523577
35.750000,2066.649445,4.374388,-0.994215,0.036043,15.526478
36.000000,2473.589281,4.374388,-0.965458,0.023037,15.526478
36.250000,2831.858407,4.373745,-0.909371,-0.005936,15.533813
36.500000,3126.628452,4.373745,-0.881883,-0.025128,15.533813
36.750000,3282.275711,4.371946,-0.809498,-0.038641,15.541637
37.000000,3339.362738,4.374470,-0.717280,-0.052876,15.549881
37.250000,3401.360544,4.374470,-0.730026,-0.055325,15.549881
37.500000,3413.211975,4.375407,-0.649899,-0.055758,15.561203
37.750000,3427.592117,4.375407,-0.610003,-0.067055,15.561203
38.000000,3419.290497,4.379311,-0.662870,-0.043550,15.573117
38.250000,3435.934145,4.379311,-0.657966,-0.060157,15.573117
38.500000,3423.192127,4.376209,-0.663384,-0.043651,15.576614
38.750000,3424.901891,4.376209,-0.628197,-0.050982,15.576614
39.000000,3411.271409,4.380035,-0.633248,-0.036480,15.582645
39.250000,3444.069742,4.380035,-0.647164,-0.040169,15.582645
39.500000,3439.627374,4.376632,-0.644279,-0.050746,15.584522
39.750000,3425.390709,4.376632,-0.597086,-0.053292,15.584522
40.000000,3439.627374,4.377652,-0.648432,-0.048068,15.582401
40.250000,3452.492268,4.381486,-0.627187,-0.019810,15.588132
40.500000,3450.506793,4.381486,-0.562885,0.002704,15.588132
40.750000,3481.793123,4.382293,-0.630695,0.010278,15.598321
41.000000,3474.232774,4.382293,-0.618710,0.017758,15.598321
41.250000,3441.106889,4.383348,-0.569954,0.011487,15.601310
41.500000,3470.715835,4.383348,-0.557522,0.005126,15.601310
41.750000,3486.345148,4.380547,-0.634752,0.019327,15.593162
42.000000,3491.416933,4.380547,-0.603422,0.025753,15.593162
42.250000,3480.530781,4.381992,-0.505793,0.010521,15.587915
42.500000,3506.721216,4.381992,-0.546917,0.088275,15.587915
42.750000,3551.346552,4.383863,-0.519696,0.087456,15.585090
43.000000,3546.099291,4.383863,-0.526497,0.084314,15.585090
43.250000,3573.023671,4.381135,-0.453300,0.169211,15.579691
43.500000,3594.967046,4.384339,-0.423129,0.169229,15.574388
43.750000,3583.694191,4.384339,-0.456114,0.171934,15.574388
44.000000,3585.835948,4.385496,-0.454470,0.172813,15.574197
44.250000,3580.219288,4.385496,-0.477125,0.167236,15.574197
44.500000,3581.287771,4.384815,-0.375709,0.157103,15.568998
44.750000,3588.516746,4.384815,-0.444897,0.168433,15.568998
45.000000,3591.470258,4.385101,-0.451068,0.166362,15.568601
45.250000,3625.377644,4.385101,-0.422167,0.188064,15.568601
45.500000,3684.654947,4.384635,-0.467066,0.259532,15.572117
45.750000,3674.219228,4.384635,-0.422308,0.268031,15.572117
46.000000,3638.568830,4.384859,-0.334154,0.261344,15.570163
46.250000,3684.372122,4.384859,-0.355190,0.258892,15.570163
46.500000,3694.865676,4.384237,-0.380025,0.256757,15.568409
46.750000,3679.852806,4.384237,-0.384364,0.271630,15.568409
47.000000,3703.989505,4.388141,-0.403713,0.275080,15.558455
47.250000,3684.372122,4.384405,-0.361183,0.271859,15.568810
47.500000,3675.344564,4.384405,-0.349942,0.265515,15.568810
47.750000,3675.344564,4.385519,-0.395661,0.269590,15.574086
48.000000,3694.865676,4.385519,-0.426281,0.263551,15.574086
48.250000,3681.546249,4.385136,-0.382993,0.263905,15.563795
48.500000,3721.218699,4.385136,-0.328163,0.358730,15.563795
48.750000,3780.718336,4.388953,-0.387400,0.386614,15.571130
49.000000,3747.950340,4.388953,-0.330108,0.383880,15.571130
49.250000,3778.932452,4.385167,-0.339531,0.377814,15.570230
49.500000,3770.916804,4.385167,-0.290424,0.389441,15.570230
49.750000,3785.488959,4.389642,-0.317168,0.377745,15.571477
50.000000,3773.584906,4.389642,-0.274096,0.403630,15.571477
50.250000,3848.929516,4.386430,-0.286881,0.505605,15.580488
50.500000,3838.464614,4.386998,-0.194654,0.501962,15.579034
50.750000,3868.783751,4.386998,-0.278325,0.497700,15.579034
51.000000,3874.092010,4.388392,-0.140958,0.485773,15.598236
51.250000,3864.423154,4.388392,-0.267513,0.497680,15.598236
51.500000,3865.979381,4.389700,-0.248687,0.488483,15.597930
51.750000,3863.490019,4.389700,-0.164967,0.493805,15.597930
52.000000,3867.225266,4.389040,-0.200102,0.506703,15.610103
52.250000,3930.560105,4.389040,-0.212857,0.641808,15.610103
52.500000,3935.716628,4.393531,-0.138854,0.646139,15.613624
52.750000,3962.357603,4.393531,-0.136324,0.636274,15.613624
53.000000,3960.396040,4.394436,-0.201650,0.631682,15.644726
53.250000,3958.762887,4.394436,-0.198418,0.621385,15.644726
53.500000,3958.436418,4.393731,-0.149893,0.632812,15.646019
53.750000,3953.545836,4.395473,-0.122973,0.634916,15.649179
54.000000,3969.894963,4.395473,-0.135408,0.618300,15.649179
54.250000,3995.006242,4.393143,-0.154590,0.624994,15.658059
54.500000,4055.766793,4.393143,-0.125262,0.756271,15.658059
54.750000,4045.171077,4.393866,-0.094796,0.780886,15.671463
55.000000,4075.048816,4.393866,-0.074489,0.761461,15.671463
55.250000,4087.889627,4.396186,-0.081469,0.749779,15.691352
55.500000,4070.556309,4.396186,-0.070827,0.760500,15.691352
55.750000,4081.632653,4.393752,-0.062509,0.761810,15.703192
56.000000,4079.898003,4.393752,-0.013107,0.764804,15.703192
56.250000,4122.648802,4.394513,-0.002332,0.795943,15.714349
56.500000,4160.166407,4.394513,0.037572,0.940660,15.714349
56.750000,4150.095106,4.394301,0.018399,0.906117,15.724997
57.000000,4168.113928,4.394301,0.056673,0.908099,15.724997
57.250000,4138.644594,4.395820,0.045545,0.897906,15.733153
57.500000,4153.686397,4.397998,0.051051,0.902342,15.743655
57.750000,4167.752019,4.397998,0.060058,0.899471,15.743655
58.000000,4143.288735,4.397457,0.079633,0.884913,15.747887
58.250000,4163.413999,4.397457,0.028496,0.911376,15.747887
58.500000,4171.373946,4.399457,0.064522,0.911769,15.757014
58.750000,4161.969999,4.399457,0.034747,0.910061,15.757014
59.000000,4237.662223,4.396345,0.097445,1.096706,15.758324
59.250000,4284.949116,4.396345,0.182428,1.083202,15.758324
59.500000,4237.288136,4.396257,0.117676,1.057222,15.771984
59.750000,4259.850905,4.396257,0.151685,1.052311,15.771984
60.000000,4279.600571,4.397655,0.163124,1.058304,15.768772
60.250000,4264.013503,4.397655,0.169349,1.066663,15.768772
60.500000,4278.074866,4.402085,0.138678,1.060604,15.773924
60.750000,4306.091325,4.402085,0.150334,1.061644,15.773924
61.000000,4252.303331,4.397536,0.136528,1.046493,15.781619
61.250000,4259.850905,4.397923,0.176205,1.060403,15.772589
61.500000,4248.163554,4.397923,0.144560,1.058502,15.772589
61.750000,4277.693610,4.397929,0.165652,1.065607,15.769884
62.000000,4264.392324,4.397929,0.172062,1.059398,15.769884
62.250000,4254.564793,4.398293,0.171828,1.055133,15.785302
62.500000,4286.862552,4.398293,0.211331,1.040372,15.785302
62.750000,4284.566634,4.399639,0.137811,1.060637,15.782037
63.000000,4274.646006,4.399639,0.198501,1.052287,15.782037
63.250000,4272.363151,4.398584,0.142360,1.073026,15.791377
63.500000,4365.620737,4.398584,0.290487,1.254981,15.791377
63.750000,4378.762999,4.401038,0.289985,1.219280,15.801899
64.000000,4389.976221,4.401038,0.314921,1.224599,15.801899
64.250000,4378.762999,4.404908,0.285058,1.216696,15.806941
64.500000,4351.373402,4.404609,0.266759,1.207920,15.804305
64.750000,4385.163530,4.404609,0.294255,1.217857,15.804305
65.000000,4352.162481,4.401883,0.298246,1.214905,15.817169
65.250000,4366.017828,4.401883,0.260153,1.224945,15.817169
65.500000,4360.861270,4.400455,0.268565,1.218745,15.819801
65.750000,4371.186595,4.400455,0.284590,1.218378,15.819801
66.000000,4377.964247,4.403129,0.326117,1.211257,15.821665
66.250000,4391.181045,4.403129,0.261927,1.215670,15.821665
