Time (sec), RPM, Q ind (psf), Axial Force (Lb), Roll Moment (Lb in), Temperature (C)
0.000000,0.000000,-0.000936,-0.000914,0.000076,17.333933
0.250000,0.000000,-0.000936,-0.001449,0.000638,17.346032
0.500000,0.000000,-0.000936,-0.001239,-0.000294,17.346032
0.750000,0.000000,-0.000936,-0.002106,-0.000412,17.336976
1.000000,0.000000,-0.000936,-0.001970,0.000199,17.336976
1.250000,0.000000,-0.000936,-0.001393,0.000649,17.338692
1.500000,0.000000,-0.000936,-0.001396,0.001269,17.338692
1.750000,0.000000,-0.000936,-0.000579,0.001237,17.345502
2.000000,0.000000,-0.000936,-0.002162,0.000344,17.345502
2.250000,0.000000,-0.000936,-0.001713,-0.000009,17.336856
2.500000,0.000000,-0.000936,-0.001610,-0.000023,17.340897
2.750000,0.000000,-0.000936,-0.001008,-0.000586,17.340897
3.000000,0.000000,-0.000936,-0.000568,0.000105,17.347758
3.250000,0.000000,-0.000936,-0.001824,-0.000178,17.347758
3.500000,0.000000,-0.000936,-0.001622,-0.000235,17.343159
3.750000,0.000000,-0.000936,-0.001944,-0.000086,17.343159
4.000000,0.000000,-0.000936,-0.002366,0.000773,17.338382
4.250000,0.000000,-0.000936,-0.004571,0.000115,17.338382
4.500000,0.000000,-0.000936,0.009053,-0.000456,17.339698
4.750000,0.000000,-0.000936,-0.000065,0.001718,17.339698
5.000000,0.000000,-0.000936,-0.000359,-0.000498,17.344099
5.250000,0.000000,-0.000936,-0.001882,0.001398,17.344099
5.500000,0.000000,-0.000936,-0.002511,0.001363,17.337438
5.750000,0.000000,-0.000936,0.000020,0.001319,17.337438
6.000000,0.000000,-0.000936,-0.000896,0.000645,17.340102
6.250000,0.000000,-0.000936,-0.001336,0.000945,17.335816
6.500000,0.000000,-0.000936,-0.003550,0.001261,17.335816
6.750000,0.000000,-0.000936,-0.004717,-0.000306,17.341433
7.000000,0.000000,-0.000936,-0.001329,0.000175,17.341433
7.250000,0.000000,-0.000936,-0.001305,-0.000651,17.329199
7.500000,0.000000,-0.000936,-0.004458,-0.000083,17.329199
7.750000,0.000000,-0.000936,-0.002254,-0.000263,17.334075
8.000000,0.000000,-0.000936,-0.001287,0.000247,17.334075
8.250000,0.000000,-0.000936,-0.002674,0.001087,17.326629
8.500000,0.000000,-0.000936,-0.007049,0.002503,17.326629
8.750000,0.000000,-0.000936,-0.007916,0.001194,17.323955
9.000000,0.000000,-0.000936,-0.005700,0.001262,17.323955
9.250000,0.000000,-0.000936,-0.005292,0.000432,17.324352
9.500000,0.000000,-0.000936,-0.006397,0.001215,17.324352
9.750000,0.000000,-0.000936,-0.001930,0.000766,17.314807
10.000000,0.000000,-0.000936,-0.002756,0.001556,17.299690
10.250000,0.000000,-0.000936,-0.000035,-0.000877,17.299690
10.500000,0.000000,-0.000936,-0.003548,0.000871,17.281404
10.750000,0.000000,-0.000936,-0.005374,-0.000146,17.281404
11.000000,0.000000,-0.000936,-0.000094,-0.000511,17.253114
11.250000,0.000000,-0.000936,-0.007493,0.000971,17.253114
11.500000,0.000000,-0.000936,0.000374,0.000587,17.246214
11.750000,0.000000,-0.000936,-0.006145,0.000329,17.246214
12.000000,0.000000,-0.000936,-0.004870,-0.000223,17.221741
12.250000,0.000000,-0.000936,0.000096,0.001584,17.221741
12.500000,0.000000,-0.000936,-0.000745,-0.001262,17.203536
12.750000,0.000000,-0.000936,-0.010682,0.001319,17.203536
13.000000,0.000000,-0.000936,0.000026,0.001168,17.194296
13.250000,0.000000,-0.000936,0.002813,-0.000997,17.181878
13.500000,0.000000,-0.000936,-0.010210,-0.000908,17.181878
13.750000,0.000000,-0.000936,-0.005591,-0.001865,17.169040
14.000000,0.000000,-0.000936,-0.002998,0.000579,17.169040
14.250000,0.000000,-0.000936,-0.003699,0.000592,17.157559
14.500000,0.000000,-0.000936,-0.010535,0.000588,17.157559
14.750000,0.000000,-0.000936,-0.003174,-0.000483,17.155759
15.000000,0.000000,-0.000936,-0.006845,-0.000446,17.155759
15.250000,0.000000,-0.000936,-0.006094,0.000253,17.138753
15.500000,0.000000,-0.000936,-0.005115,0.000279,17.138753
15.750000,0.000000,-0.000936,-0.011007,0.001211,17.127836
16.000000,0.000000,-0.000936,-0.003357,0.000105,17.127836
16.250000,0.000000,-0.000936,-0.007369,0.000191,17.126541
16.500000,0.000000,-0.000936,-0.008093,-0.000055,17.126541
16.750000,0.000000,-0.000936,-0.005802,-0.001690,17.116401
17.000000,0.000000,-0.000936,-0.007360,-0.000275,17.111486
17.250000,0.000000,-0.000936,-0.007189,-0.000709,17.111486
17.500000,0.000000,-0.000936,-0.007643,0.000646,17.106657
17.750000,0.000000,-0.000936,-0.009906,0.000881,17.106657
18.000000,0.000000,-0.000936,-0.009830,0.000063,17.110001
18.250000,0.000000,-0.000936,-0.005864,-0.000146,17.110001
18.500000,0.000000,-0.000936,-0.010579,-0.000504,17.093629
18.750000,0.000000,-0.000936,-0.003483,0.000016,17.093629
19.000000,0.000000,-0.000936,-0.006221,0.000574,17.090727
19.250000,0.000000,-0.000936,-0.006162,0.000426,17.090727
19.500000,0.000000,-0.000936,-0.000327,0.000184,17.087861
19.750000,0.000000,-0.000936,-0.004832,0.000531,17.087861
20.000000,0.000000,-0.000936,-0.007403,0.000136,17.070900
20.250000,0.000000,-0.000936,-0.010495,0.000567,17.070900
20.500000,0.000000,-0.000936,-0.003433,0.000340,17.052905
20.750000,0.000000,-0.000936,-0.005734,0.001799,17.036895
21.000000,0.000000,-0.000936,-0.004096,0.000498,17.036895
21.250000,0.000000,-0.000936,-0.009013,-0.000328,17.027976
21.500000,0.000000,-0.000936,-0.016696,0.001377,17.027976
21.750000,0.000000,-0.000936,-0.002018,-0.000252,17.017239
22.000000,0.000000,-0.000936,-0.007451,0.002731,17.017239
22.250000,0.000000,-0.000936,-0.002127,0.000006,17.007652
22.500000,0.000000,-0.000936,-0.005696,0.000492,17.007652
22.750000,0.000000,-0.000936,-0.006566,-0.000558,16.985678
23.000000,0.000000,-0.000936,-0.004848,0.000098,16.985678
23.250000,0.000000,-0.000936,-0.011318,0.002035,16.976748
23.500000,0.000000,-0.000936,-0.009523,0.000157,16.976748
23.750000,0.000000,-0.000936,-0.012541,0.001278,16.965327
24.000000,0.000000,-0.000936,-0.006201,0.000582,16.956850
24.250000,0.000000,-0.000936,-0.009852,-0.000239,16.956850
24.500000,0.000000,-0.000936,-0.001485,-0.000248,16.938654
24.750000,0.000000,-0.000936,0.003022,-0.000321,16.938654
25.000000,0.000000,-0.000936,-0.005329,-0.001595,16.910978
25.250000,0.000000,-0.000936,-0.004233,-0.000461,16.910978
25.500000,0.000000,-0.000936,-0.007532,0.000165,16.882868
25.750000,0.000000,-0.000936,-0.005968,0.001035,16.882868
26.000000,0.000000,-0.000936,-0.003606,-0.001347,16.863665
26.250000,0.000000,-0.000936,-0.003206,-0.000060,16.863665
26.500000,0.000000,-0.000936,-0.005713,-0.000230,16.837233
26.750000,0.000000,-0.000936,0.000104,0.000162,16.837233
27.000000,0.000000,-0.000936,-0.003031,-0.001197,16.816376
27.250000,0.000000,-0.000936,-0.004937,-0.000484,16.816376
27.500000,0.000000,-0.000936,-0.006632,0.000608,16.773751
27.750000,0.000000,-0.000936,0.000249,0.000958,16.754143
28.000000,0.000000,-0.000936,-0.009008,-0.000278,16.754143
28.250000,0.000000,-0.000936,-0.005602,-0.001810,16.727587
28.500000,0.000000,-0.000936,-0.011098,0.000322,16.727587
28.750000,0.000000,-0.000936,-0.007164,-0.002178,16.722970
29.000000,0.000000,-0.000936,-0.010444,-0.001359,16.722970
29.250000,0.000000,-0.000936,-0.003571,-0.000829,16.694335
29.500000,0.000000,-0.000936,-0.001623,-0.000713,16.694335
29.750000,0.000000,-0.000936,-0.019258,-0.002674,16.671624
30.000000,0.000000,-0.000936,-0.011461,-0.001183,16.671624
30.250000,0.000000,-0.000936,-0.005758,-0.000950,16.644529
30.500000,0.000000,-0.000936,0.000239,-0.001435,16.644529
30.750000,0.000000,-0.000936,-0.000660,-0.000970,16.619228
31.000000,0.000000,-0.000936,-0.003664,-0.001798,16.595785
31.250000,0.000000,-0.000936,-0.012717,-0.000438,16.595785
31.500000,0.000000,-0.000936,-0.004356,-0.000926,16.581846
31.750000,0.000000,-0.000936,-0.014345,-0.000462,16.581846
32.000000,0.000000,-0.000936,-0.006360,-0.000318,16.560219
32.250000,0.000000,-0.000936,-0.001849,0.000252,16.560219
32.500000,0.000000,-0.000936,-0.007794,-0.000788,16.556666
32.750000,0.000000,-0.000936,-0.010265,-0.002309,16.556666
33.000000,0.000000,-0.000936,-0.007368,-0.003210,16.537726
33.250000,0.000000,-0.000936,-0.000052,0.000007,16.537726
33.500000,0.000000,-0.000936,-0.004645,-0.001082,16.516469
33.750000,0.000000,-0.000936,-0.010109,-0.001063,16.516469
34.000000,0.000000,-0.000936,0.001499,-0.002542,16.495976
34.250000,0.000000,-0.000936,-0.004388,-0.000846,16.495976
34.500000,0.000000,-0.000936,-0.008688,0.001304,16.487736
34.750000,0.000000,-0.000936,-0.004680,0.001277,16.460846
35.000000,0.000000,-0.000936,-0.008411,-0.000136,16.460846
35.250000,0.000000,-0.000936,-0.007464,-0.000438,16.462015
35.500000,0.000000,-0.000936,-0.008040,0.000772,16.462015
35.750000,0.000000,-0.000936,-0.001551,0.000043,16.447231
36.000000,0.000000,-0.000936,-0.003438,0.001059,16.447231
36.250000,0.000000,-0.000936,-0.008887,-0.000685,16.432338
36.500000,0.000000,-0.000936,-0.011105,-0.000059,16.432338
36.750000,0.000000,-0.000936,-0.009206,0.001546,16.415227
37.000000,0.000000,-0.000936,-0.004217,-0.001052,16.415227
37.250000,0.000000,-0.000936,-0.007043,-0.001879,16.396888
37.500000,0.000000,-0.000936,-0.004277,-0.001512,16.396888
37.750000,0.000000,-0.000936,-0.006239,0.000430,16.381155
38.000000,0.000000,-0.000936,-0.001187,-0.001520,16.381155
38.250000,0.000000,-0.000936,-0.003259,-0.000883,16.362383
38.500000,0.000000,-0.000936,-0.003847,-0.002119,16.353213
38.750000,0.000000,-0.000936,-0.001585,0.000225,16.353213
39.000000,0.000000,-0.000936,-0.013924,-0.001398,16.332585
39.250000,0.000000,-0.000936,-0.004396,-0.000339,16.332585
39.500000,0.000000,-0.000936,-0.007729,-0.001833,16.308990
39.750000,0.000000,-0.000936,-0.008652,-0.001467,16.308990
40.000000,0.000000,-0.000936,-0.010299,-0.002295,16.294656
40.250000,0.000000,-0.000936,-0.001090,-0.001963,16.294656
40.500000,0.000000,-0.000936,-0.001458,-0.002511,16.289373
40.750000,0.000000,-0.000936,-0.001722,-0.002377,16.289373
41.000000,0.000000,-0.000936,-0.008221,-0.001279,16.267815
41.250000,0.000000,-0.000936,-0.012161,-0.001147,16.267815
